x,y
1,11.1547
2,14.3993
3,17.0352
4,18.6895
5,19.3016
6,19.0731
7,18.3246
8,17.3633
9,16.4262
10,15.6934
11,15.3081
12,15.3545
13,15.7995
14,16.4571
15,17.0347
16,17.2611
17,17.0308
18,16.4709
19,15.8807
20,15.5789
21,15.7537
22,16.4061
23,17.4078
24,18.6089
25,19.9053
26,21.2147
27,22.3954
28,23.2023
29,23.3514
30,22.6796
31,21.3004
32,19.6274
33,18.2192
34,17.5131
35,17.6062
36,18.2236
37,18.9015
38,19.2717
39,19.2699
40,19.1382
41,19.2313
42,19.7636
43,20.6676
44,21.6535
45,22.4143
46,22.8276
47,23.0104
48,23.1984
49,23.5441
50,23.987
51,24.2923
52,24.2294
53,23.7597
54,23.095
55,22.5799
56,22.4747
57,22.7865
58,23.2605
59,23.5362
60,23.3611
61,22.7281
62,21.8575
63,21.0553
64,20.5511
65,20.417
66,20.594
67,20.9771
68,21.4791
69,22.0299
70,22.5367
71,22.8663
72,22.8897
73,22.5689
74,22.0145
75,21.4544
76,21.1133
77,21.0782
78,21.2433
79,21.38
80,21.2897
81,20.9344
82,20.456
83,20.0745
84,19.9438
85,20.0759
86,20.3891
87,20.8369
88,21.5053
89,22.5831
90,24.2051
91,26.272
92,28.3901
93,30.0014
94,30.651
95,30.231
96,29.045
97,27.6455
98,26.5401
99,25.9486
100,25.7538
101,25.6608
102,25.4394
103,25.0819
104,24.7742
105,24.7176
106,24.9411
107,25.2481
108,25.3374
109,25.0134
110,24.3339
111,23.59
112,23.1308
113,23.1508
114,23.582
115,24.155
116,24.577
117,24.7013
118,24.5798
119,24.3795
120,24.2409
121,24.184
122,24.1235
123,23.963
124,23.6863
125,23.3717
126,23.124
127,22.9883
128,22.9171
129,22.8212
130,22.6591
131,22.4909
132,22.4484
133,22.6444
134,23.0953
135,23.7226
136,24.4367
137,25.2318
138,26.2055
139,27.4684
140,28.9998
141,30.56
142,31.7446
143,32.1721
144,31.6944
145,30.4917
146,28.9819
147,27.5956
148,26.56
149,25.8318
150,25.2125
151,24.5562
152,23.9154
153,23.5159
154,23.5798
155,24.1274
156,24.909
157,25.5283
158,25.681
159,25.3479
160,24.8059
161,24.445
162,24.5127
163,24.9557
164,25.465
165,25.6902
166,25.4765
167,24.9671
168,24.5072
169,24.4202
170,24.8057
171,25.4848
172,26.1106
173,26.3579
174,26.0637
175,25.2471
176,24.0284
177,22.5363
178,20.881
179,19.2005
180,17.7187
181,16.7363
182,16.5307
183,17.2152
184,18.652
185,20.4842
186,22.2725
187,23.6562
188,24.4478
189,24.625
190,24.2585
191,23.4515
192,22.3374
193,21.1153
194,20.0577
195,19.4368
196,19.3895
197,19.8057
198,20.3415
199,20.5806
200,20.2689
201,19.4787
202,18.5885
203,18.0777
204,18.2556
205,19.0913
206,20.2481
207,21.292
208,21.9322
209,22.1382
210,22.0706
211,21.8971
212,21.6416
213,21.1841
214,20.41
215,19.39
216,18.442
217,18.0055
218,18.3952
219,19.5936
220,21.2253
221,22.7421
222,23.7045
223,23.9894
224,23.7991
225,23.4823
226,23.2945
227,23.2535
228,23.1687
229,22.802
230,22.0371
231,20.9436
232,19.7114
233,18.5227
234,17.4624
235,16.5255
236,15.6944
237,15.0076
238,14.5545
239,14.3989
240,14.4968
241,14.6849
242,14.7609
243,14.6036
244,14.2464
245,13.8502
246,13.5938
247,13.565
248,13.7282
249,13.9854
250,14.2731
251,14.6072
252,15.0374
253,15.5471
254,15.9929
255,16.1545
256,15.8827
257,15.2458
258,14.556
259,14.2289
260,14.5437
261,15.4557
262,16.5894
263,17.4327
264,17.6164
265,17.1082
266,16.2011
267,15.3131
268,14.7381
269,14.511
270,14.4648
271,14.4186
272,14.3468
273,14.3988
274,14.7553
275,15.4301
276,16.1734
277,16.5645
278,16.2458
279,15.1501
280,13.5692
281,12.0151
282,10.9591
283,10.6114
284,10.8652
285,11.4199
286,11.9829
287,12.4144
288,12.7367
289,13.0356
290,13.3501
291,13.6406
292,13.8492
293,13.9904
294,14.1846
295,14.5978
296,15.3264
297,16.3129
298,17.3551
299,18.2048
300,18.6824
301,18.7322
302,18.3912
303,17.7156
304,16.7402
305,15.5104
306,14.1566
307,12.9331
308,12.1579
309,12.0673
310,12.6726
311,13.7258
312,14.8357
313,15.6733
314,16.1367
315,16.3659
316,16.5997
317,16.975
318,17.414
319,17.6798
320,17.5636
321,17.064
322,16.4235
323,15.9845
324,15.957
325,16.2627
326,16.5688
327,16.4995
328,15.8868
329,14.8909
330,13.9095
331,13.335
332,13.3222
333,13.7192
334,14.1977
335,14.487
336,14.5476
337,14.5699
338,14.8107
339,15.3885
340,16.183
341,16.9032
342,17.2702
343,17.1848
344,16.7705
345,16.2756
346,15.917
347,15.7774
348,15.8165
349,15.968
350,16.2311
351,16.6816
352,17.3963
353,18.3567
354,19.4143
355,20.3489
356,20.9795
357,21.2453
358,21.2016
359,20.9423
360,20.5197
361,19.9292
362,19.1704
363,18.3245
364,17.5712
365,17.1075
366,17.0188
367,17.1991
368,17.3962
369,17.3705
370,17.0652
371,16.6663
372,16.4956
373,16.7978
374,17.5634
375,18.5116
376,19.2536
377,19.5308
378,19.3679
379,19.0358
380,18.852
381,18.9553
382,19.2137
383,19.3273
384,19.0522
385,18.3859
386,17.5817
387,16.9825
388,16.7898
389,16.9329
390,17.1283
391,17.0897
392,16.7386
393,16.2705
394,16.0289
395,16.2751
396,17.0107
397,17.9691
398,18.7786
399,19.1821
400,19.173
401,18.9691
402,18.8603
403,19.0427
404,19.5441
405,20.2663
406,21.0873
407,21.9318
408,22.7636
409,23.5253
410,24.0966
411,24.3252
412,24.1172
413,23.5179
414,22.7112
415,21.9269
416,21.3127
417,20.8631
418,20.4561
419,19.9684
420,19.3833
421,18.8104
422,18.4054
423,18.259
424,18.3463
425,18.5822
426,18.9368
427,19.5094
428,20.479
429,21.9444
430,23.7594
431,25.496
432,26.5961
433,26.6415
434,25.5854
435,23.7943
436,21.8661
437,20.3304
438,19.4132
439,19.001
440,18.8073
441,18.6133
442,18.4138
443,18.3777
444,18.6696
445,19.2761
446,19.9714
447,20.4513
448,20.5395
449,20.3146
450,20.0614
451,20.0791
452,20.476
453,21.0957
454,21.6248
455,21.8093
456,21.6318
457,21.3337
458,21.2718
459,21.7083
460,22.6691
461,23.9471
462,25.2292
463,26.2497
464,26.8752
465,27.0946
466,26.9561
467,26.5244
468,25.8895
469,25.2003
470,24.6613
471,24.4612
472,24.6637
473,25.1398
474,25.6067
475,25.7683
476,25.4771
477,24.812
478,24.0202
479,23.3624
480,22.9669
481,22.7885
482,22.6891
483,22.5661
484,22.4217
485,22.3191
486,22.2659
487,22.134
488,21.7071
489,20.8508
490,19.6938
491,18.6763
492,18.3938
493,19.2976
494,21.4236
495,24.3183
496,27.2185
497,29.3873
498,30.416
499,30.3277
500,29.4527
501,28.1842
502,26.7842
503,25.351
504,23.9306
505,22.6512
506,21.7523
507,21.4717
508,21.8695
509,22.7294
510,23.6254
511,24.1335
512,24.0575
513,23.5286
514,22.9173
515,22.6168
516,22.8348
517,23.5138
518,24.4074
519,25.2375
520,25.8243
521,26.1167
522,26.137
523,25.9115
524,25.4509
525,24.7871
526,24.0164
527,23.2892
528,22.7356
529,22.3779
530,22.1054
531,21.747
532,21.2014
533,20.5342
534,19.9656
535,19.7482
536,20.0155
537,20.7085
538,21.6306
539,22.5888
540,23.5134
541,24.46
542,25.4929
543,26.5383
544,27.3354
545,27.5427
546,26.9473
547,25.6364
548,24.0017
549,22.5557
550,21.6669
551,21.3813
552,21.4467
553,21.5189
554,21.4091
555,21.2034
556,21.1769
557,21.5668
558,22.3665
559,23.2872
560,23.9134
561,23.9484
562,23.3819
563,22.4725
564,21.5658
565,20.8782
566,20.3941
567,19.9357
568,19.3439
569,18.6307
570,17.9969
571,17.7049
572,17.9018
573,18.5172
574,19.2993
575,19.9565
576,20.2999
577,20.2969
578,20.0189
579,19.5432
580,18.8952
581,18.0718
582,17.113
583,16.1477
584,15.3625
585,14.9073
586,14.8085
587,14.9597
588,15.2012
589,15.4297
590,15.6521
591,15.9423
592,16.3342
593,16.744
594,16.9924
595,16.9246
596,16.5408
597,16.0299
598,15.6636
599,15.6104
600,15.7988
601,15.9387
602,15.703
603,14.9577
604,13.8842
605,12.9019
606,12.4328
607,12.6571
608,13.4184
609,14.3378
610,15.0553
611,15.4333
612,15.5906
613,15.7553
614,16.055
615,16.4013
616,16.555
617,16.3223
618,15.7388
619,15.0979
620,14.7954
621,15.0866
622,15.9193
623,16.9553
624,17.7654
625,18.0731
626,17.8927
627,17.4871
628,17.189
629,17.213
630,17.5721
631,18.13
632,18.7218
633,19.2471
634,19.674
635,19.978
636,20.089
637,19.905
638,19.3701
639,18.5491
640,17.6304
641,16.8374
642,16.3064
643,16.0161
644,15.8211
645,15.5657
646,15.1927
647,14.7696
648,14.4173
649,14.2059
650,14.1045
651,14.0308
652,13.9587
653,13.988
654,14.3007
655,15.0143
656,16.0333
657,17.021
658,17.5421
659,17.3082
660,16.3737
661,15.1476
662,14.1975
663,13.9584
664,14.5234
665,15.6386
666,16.8933
667,17.9686
668,18.7782
669,19.4222
670,20.0074
671,20.4854
672,20.6374
673,20.2244
674,19.1954
675,17.7951
676,16.4818
677,15.6941
678,15.6143
679,16.0793
680,16.6946
681,17.0715
682,17.036
683,16.6838
684,16.2676
685,16.0118
686,15.9844
687,16.1002
688,16.2281
689,16.305
690,16.3692
691,16.4982
692,16.7125
693,16.9312
694,17.0178
695,16.8788
696,16.5361
697,16.1144
698,15.7533
699,15.5139
700,15.3526
701,15.1791
702,14.9483
703,14.7031
704,14.5313
705,14.4668
706,14.4236
707,14.23
708,13.7553
709,13.0421
710,12.3364
711,11.9734
712,12.1795
713,12.9206
714,13.9073
715,14.7626
716,15.2459
717,15.3841
718,15.4184
719,15.6062
720,16.0171
721,16.4682
722,16.6452
723,16.3242
724,15.533
725,14.5337
726,13.6341
727,12.9584
728,12.342
729,11.4316
730,9.92871
731,7.81632
