name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"29.2275;-9.46785",2020-09-29,27,17.7,20.8,27.5,17.7,20.9,16.4,77,0,0,0,,,,33.5,22.3,243.6,1014.6,26.6,7.6,259.9,22.5,9,,2020-09-29T07:30:05,2020-09-29T19:25:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-09-30,26,16.6,19.8,26,16.6,19.8,16.6,83.1,0,0,0,,,,22.3,20.5,242.7,1017.3,41.8,7.5,262.8,22.7,9,,2020-09-30T07:30:37,2020-09-30T19:24:24,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-01,27,16.8,20,27.3,16.8,20,16.2,80.1,0,0,0,,,,24.1,31.7,271.1,1015.7,47,7.7,262.6,22.7,9,,2020-10-01T07:31:10,2020-10-01T19:23:12,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-02,25,11.4,19.2,25,11.4,19.2,14.8,76.7,0,0,0,,,,43.5,42.5,299.4,1012.7,19.4,7.3,260.3,22.6,9,,2020-10-02T07:31:43,2020-10-02T19:22:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-03,24,17.4,20,24,17.4,20,14.6,72,0,0,0,,,,50,40.7,317.9,1010.2,20,7.9,262.6,22.7,9,,2020-10-03T07:32:16,2020-10-03T19:20:50,0.52,Clear,Partly cloudy throughout the day.,clear-day,"60060099999,60270099999,60280099999,GMAG"
"29.2275;-9.46785",2020-10-04,23,14,17.8,23,14,17.8,13.3,76.6,0,0,0,,,,35.3,26.6,262.2,1012.3,18,8.4,264.6,22.9,9,,2020-10-04T07:32:50,2020-10-04T19:19:40,0.53,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-05,27,15,19.3,27.1,15,19.3,14.4,75.9,0,0,0,,,,25.9,27.7,225.2,1017,27.6,8.9,255.8,21.9,9,,2020-10-05T07:33:23,2020-10-05T19:18:30,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-06,28,15.6,19.9,28,15.6,19.9,15.1,76.6,0,0,0,,,,20.5,24.1,216.5,1019,42.6,7.1,248.6,21.4,9,,2020-10-06T07:33:58,2020-10-06T19:17:21,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-07,33,16,22.1,31.2,16,22,13,59.8,0,0,0,,,,14.8,25.9,158.6,1018.6,10,8.9,68.2,5.9,2,,2020-10-07T07:34:32,2020-10-07T19:16:12,0.63,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,60280099999,GMAG"
"29.2275;-9.46785",2020-10-08,34,16,22.8,32.1,16,22.5,14,62.2,0,0,0,,,,20.5,20.5,204,1019.2,22.9,8.3,250.3,21.7,9,,2020-10-08T07:35:07,2020-10-08T19:15:03,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-09,32,15,21.2,30.8,15,21,14.1,68.8,0,0,0,,,,20.5,20.5,161.9,1019.2,6.3,7.7,246.6,21.3,9,,2020-10-09T07:35:42,2020-10-09T19:13:55,0.73,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-10,36,15,24.1,33.3,15,23.5,10.6,51,0,0,0,,,,20.5,18.4,150.8,1017.8,8.6,8.3,248.7,21.5,9,,2020-10-10T07:36:17,2020-10-10T19:12:48,0.78,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-11,37,16.1,26.9,34.4,16.1,26,6.4,32.1,0.1,100,4.17,rain,,,18.4,27.7,166.9,1016.5,11.4,9.1,244.8,21.1,8,,2020-10-11T07:36:53,2020-10-11T19:11:41,0.83,Rain,Clear conditions throughout the day with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-12,38,17.9,27.2,35.1,17.9,26.3,5.9,30.6,0.1,100,4.17,rain,,,18.4,27.7,159.5,1015.6,6.1,9.3,241.3,20.7,8,,2020-10-12T07:37:29,2020-10-12T19:10:35,0.88,Rain,Clear conditions throughout the day with morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-13,34,17,23.9,31.6,17,23.5,6.7,36.6,0.1,100,4.17,rain,,,18.4,29.5,179.7,1015.8,18.3,9.3,251,21.6,9,,2020-10-13T07:38:05,2020-10-13T19:09:30,0.93,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-14,30,14,19.9,28.1,14,19.7,9.7,60.2,0.1,100,4.17,rain,,,22.3,29.5,275.3,1017.1,25.6,8.1,241.4,20.8,8,,2020-10-14T07:38:42,2020-10-14T19:08:25,0.96,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-15,27,14.8,19,26.2,14.8,18.9,12.2,70.4,0,0,0,,,,22.3,38.9,289.3,1017.1,22.3,8.8,227.1,19.5,8,,2020-10-15T07:39:19,2020-10-15T19:07:21,0.99,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-16,22,13.5,17.5,22,13.5,17.5,11.9,72.2,0,0,0,,,,29.5,33.5,300.5,1017.8,5.8,10.2,242.4,20.9,8,,2020-10-16T07:39:57,2020-10-16T19:06:18,1,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-17,23,13,17.3,23,13,17.3,11.7,71.9,0,0,0,,,,25.9,24.5,266.1,1016.4,29.6,9.8,213.4,18.3,7,,2020-10-17T07:40:35,2020-10-17T19:05:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-18,28,12,18.2,27.1,12,18.1,11.7,69.3,0,0,0,,,,16.6,25.9,219.7,1016,27.2,10.3,147.9,12.9,6,,2020-10-18T07:41:14,2020-10-18T19:04:13,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-19,33,15,22.3,30.7,15,21.8,8.4,46,0,0,0,,,,16.6,24.1,151.8,1016.9,13.7,10.1,226.8,19.6,8,,2020-10-19T07:41:52,2020-10-19T19:03:13,0.05,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-20,33,17.9,24.5,30.7,17.9,23.8,7.8,38.5,0,0,0,,,,38.9,33.5,171.5,1015.1,41.4,7.3,192.5,16.6,8,,2020-10-20T07:42:32,2020-10-20T19:02:13,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-21,26,17.8,21.1,26,17.8,21.1,14.9,69.7,1.5,100,29.17,rain,,,24.1,22.3,247,1014.4,55.2,7.4,165.6,14.4,6,,2020-10-21T07:43:11,2020-10-21T19:01:14,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-22,22,16.4,18.9,22,16.4,18.9,13.9,74,10.4,100,41.67,rain,,,22.3,18.4,202.8,1017.1,54.6,8.5,143.6,12.4,6,,2020-10-22T07:43:51,2020-10-22T19:00:16,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-23,24,15,18.6,24,15,18.6,13.3,74.1,0,0,0,,,,24.1,20.9,163.2,1022.8,52.6,9.6,133.8,11.5,5,,2020-10-23T07:44:32,2020-10-23T18:59:18,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-24,28,12,18.8,26.8,12,18.7,10.6,63.3,0,0,0,,,,22.3,14.8,196.5,1023.5,24.6,9.8,172.4,14.7,6,,2020-10-24T07:45:13,2020-10-24T18:58:22,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-25,27,13,18.5,26.7,13,18.4,11.6,66.9,0,0,0,,,,20.5,25.9,165.2,1022.2,4.2,8.9,222.9,19.2,8,,2020-10-25T07:45:54,2020-10-25T18:57:27,0.35,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,60280099999,GMAG"
"29.2275;-9.46785",2020-10-26,26,12,17.2,26,12,17.2,12,76.8,0,0,0,,,,24.1,33.5,225.4,1021.1,14.8,8.7,229.5,19.9,8,,2020-10-26T07:46:36,2020-10-26T18:56:33,0.39,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-27,24,14.6,18,24,14.6,18,13.8,78.5,0,0,0,,,,18.4,25.9,287.8,1018.9,21.7,7.7,221.7,19.2,8,,2020-10-27T07:47:18,2020-10-27T18:55:40,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-28,25,11.9,17.6,25,11.9,17.6,11.8,71.4,0,0,0,,,,16.6,18.4,174.2,1018.5,43.8,7.2,135.6,11.7,6,,2020-10-28T07:48:01,2020-10-28T18:54:48,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-29,31,15.9,23,28.9,15.9,22.3,4.7,36.1,0.1,100,4.17,rain,,,29.5,31.7,96.3,1018,5.7,8.9,183.2,15.7,7,,2020-10-29T07:48:44,2020-10-29T18:53:58,0.48,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"60060099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-30,31,19.4,25.8,29,19.4,24.9,0.2,19.5,0,0,0,,,,46.4,37.1,85.8,1019.1,3.6,9.2,203.3,17.4,8,,2020-10-30T07:49:28,2020-10-30T18:53:08,0.49,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-10-31,31,17,23.6,28.9,17,23,1.1,24.6,0,0,0,,,,24.1,25.9,118.1,1021.7,0.7,10.2,216.6,18.8,8,,2020-10-31T07:50:12,2020-10-31T18:52:20,0.5,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-01,31,16,22.5,28.9,16,22,2.8,31,0,0,0,,,,16.6,22.3,152.7,1020.4,3,9.8,216.7,18.6,8,,2020-11-01T07:50:56,2020-11-01T18:51:32,0.51,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-02,30,15.8,21.1,28.1,15.8,20.9,4.6,38.7,0,0,0,,,,22.3,24.1,142.1,1019.9,7.3,9.4,214.6,18.5,8,,2020-11-02T07:51:41,2020-11-02T18:50:46,0.52,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-03,30,15,21.6,28.1,15,21.3,3,32.9,0.1,100,4.17,rain,,,18.4,27.7,147.3,1021,9.7,9.5,201.8,17.5,8,,2020-11-03T07:52:26,2020-11-03T18:50:02,0.54,Rain,Clear conditions throughout the day with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-04,19.7,14,17.2,19.7,14,17.2,13.6,80.2,0,0,0,,,,38.9,20.5,181.7,1017.4,63.5,6.4,92.8,8,4,,2020-11-04T07:53:12,2020-11-04T18:49:18,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-05,29,13,19.2,27.4,13,19.1,10.3,61.3,0,0,0,,,,37.1,27.7,167.5,1010.9,31.9,8.2,195.6,16.9,7,,2020-11-05T07:53:58,2020-11-05T18:48:36,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-06,29,16.6,20.7,27.5,16.6,20.6,8.9,49.6,0,0,0,,,,40.7,33.5,184.3,1013.9,43.4,8.8,172,15,6,,2020-11-06T07:54:44,2020-11-06T18:47:56,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-07,27,13,19.5,26.5,13,19.4,11.4,62.5,0,0,0,,,,22.3,18.4,144.1,1020.5,12.6,9.2,198.9,17,7,,2020-11-07T07:55:30,2020-11-07T18:47:16,0.7,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-08,26,12,18.7,26,12,18.7,12.4,69.5,0,0,0,,,,25.9,21.2,144.7,1021.7,16.1,9.9,190.6,16.4,7,,2020-11-08T07:56:17,2020-11-08T18:46:38,0.75,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-09,25,10,17.2,25,9.1,17.1,11.7,73.2,0.1,100,4.17,rain,,,24.1,25.9,232.3,1021.6,10.5,9.6,190.8,16.4,7,,2020-11-09T07:57:05,2020-11-09T18:46:02,0.8,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-10,26,11,17.7,26,11,17.7,11,68.7,0.6,100,25,rain,,,18.4,16.6,213.5,1019.5,3.4,9.3,205.6,17.6,8,,2020-11-10T07:57:52,2020-11-10T18:45:27,0.86,Rain,Clear conditions throughout the day with rain clearing later.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-11,30,11,19.8,28.3,11,19.5,6,46.9,0.2,100,8.33,rain,,,16.6,22.3,171,1018.2,24.6,8.9,201.8,17.4,8,,2020-11-11T07:58:40,2020-11-11T18:44:53,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-12,28.1,17.8,22.2,26.8,17.8,21.9,7.4,43,0,0,0,,,,35.3,24.1,137.3,1017.6,62,7.4,134.6,11.6,5,,2020-11-12T07:59:28,2020-11-12T18:44:21,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-13,27,17.9,21.7,26.7,17.9,21.7,11.8,54.7,1.1,100,25,rain,,,33.5,22.3,118.1,1019.5,79,7.2,82.1,7.2,3,,2020-11-13T08:00:16,2020-11-13T18:43:50,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-14,30.4,18.9,24.7,28.7,18.9,24.1,9.3,41.4,0,0,0,,,,35.3,25.9,126.5,1018.5,48.3,10,159.1,13.7,7,,2020-11-14T08:01:05,2020-11-14T18:43:21,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-15,30.7,19.4,24.7,28.8,19.4,24.1,5.5,31.5,0,0,0,,,,29.5,27.7,111.5,1019.9,39,9.7,78.4,6.8,3,,2020-11-15T08:01:53,2020-11-15T18:42:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-16,31,19.7,25.3,29,19.7,24.5,4.2,27.7,0,0,0,,,,22.3,24.1,111.9,1022.5,40.4,9,85.7,7.4,3,,2020-11-16T08:02:42,2020-11-16T18:42:28,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-17,32,17.6,24.7,29.8,17.6,24,3.5,27.1,0,0,0,,,,20.5,27.7,119.4,1022.3,13.6,9.9,189.1,16.4,7,,2020-11-17T08:03:31,2020-11-17T18:42:03,0.04,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-18,31,16,22.7,29,16,22.3,4.9,33.8,0,0,0,,,,20.5,24.1,145.3,1021.7,8.9,10.1,189.6,16.4,7,,2020-11-18T08:04:20,2020-11-18T18:41:40,0.07,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-19,29,13,21.1,27.5,13,20.8,8,47.4,0,0,0,,,,18.4,29.5,136.4,1020.6,25,9.8,176.8,15.5,7,,2020-11-19T08:05:09,2020-11-19T18:41:19,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-20,26,15.6,21.4,26,15.6,21.4,3.8,32.8,0,0,0,,,,44.6,29.5,102.4,1020.9,13.4,9.8,186.9,16.2,7,,2020-11-20T08:05:58,2020-11-20T18:40:59,0.17,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-21,26,13,19.3,26,13,19.3,5,41.5,0,0,0,,,,20.5,22.3,111.1,1020.4,0,10.1,188.3,16.3,7,,2020-11-21T08:06:47,2020-11-21T18:40:41,0.22,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-22,27,12.6,19.3,26,12.6,19.2,2.6,36.3,0,0,0,,,,14.8,22.3,120.4,1021.2,4.4,9.8,190.5,16.5,7,,2020-11-22T08:07:36,2020-11-22T18:40:25,0.27,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-23,27,12.6,19.2,26,12.6,19.2,1.9,33.2,0,0,0,,,,18.4,22.3,152.2,1023,7.5,10.2,186.5,15.9,7,,2020-11-23T08:08:25,2020-11-23T18:40:10,0.31,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-24,26,11,18.2,26,11,18.2,2.1,36.4,0,0,0,,,,20.5,25.9,148.4,1023.5,33.1,9.7,135.4,11.8,6,,2020-11-24T08:09:14,2020-11-24T18:39:57,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-25,25,14,18.2,25,14,18.2,7.5,54,3.2,100,29.17,rain,,,22.3,24.1,175.8,1019,32.8,8.4,171,14.7,7,,2020-11-25T08:10:03,2020-11-25T18:39:46,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-26,15.6,10,13.3,15.6,10,13.3,11.2,87.6,44.6,100,95.83,rain,,,66.6,27.7,253.3,1012.7,66.1,6.3,110.1,9.5,5,,2020-11-26T08:10:51,2020-11-26T18:39:36,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-27,16.9,10,13.3,16.9,8.8,13.3,11.1,86.6,24.7,100,87.5,rain,,,46.4,37.1,260.2,1010.7,52.2,5.6,123.8,10.7,5,,2020-11-27T08:11:40,2020-11-27T18:39:28,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-28,19,12,15.2,19,12,15.2,11.7,80.8,4,100,33.33,rain,,,38.9,22.3,270.7,1014.5,32.3,9.5,176,15.2,7,,2020-11-28T08:12:28,2020-11-28T18:39:22,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-29,19,12,15.5,19,12,15.5,13,85.9,7.7,100,79.17,rain,,,31.7,16.6,174.8,1014.1,64,7.1,148.6,12.8,6,,2020-11-29T08:13:16,2020-11-29T18:39:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-11-30,23.2,12,18,23.2,12,18,8.5,55.9,1.1,100,8.33,rain,,,42.5,29.5,146.4,1014.5,43.9,10.1,174.6,15,7,,2020-11-30T08:14:03,2020-11-30T18:39:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-01,25,11.4,19.1,25,11.4,19.1,4.3,41.8,0,0,0,,,,68.4,50,135,1015.7,26.1,6.1,158.8,13.8,6,,2020-12-01T08:14:50,2020-12-01T18:39:12,0.51,Partially cloudy,Clearing in the afternoon.,wind,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-02,25,10,17.4,25,8,17.3,7.9,58.6,0,0,0,,,,22.3,20.5,147.9,1015,9.4,9.9,174.9,15,7,,2020-12-02T08:15:37,2020-12-02T18:39:13,0.53,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-03,21,9,15.2,21,7,15.1,11.9,82.1,0,0,0,,,,16.6,24.1,215.1,1015.8,36.1,9.8,172.5,14.9,7,,2020-12-03T08:16:23,2020-12-03T18:39:15,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-04,19,13.4,15.9,19,13.4,15.9,13.2,84.7,1.5,100,41.67,rain,,,42.5,27.7,293.9,1015.8,57.2,7.7,161.5,13.8,6,,2020-12-04T08:17:08,2020-12-04T18:39:18,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-05,16.4,11.9,14.7,16.4,11.9,14.7,10.8,77.9,3.4,100,33.33,rain,,,48.2,37.1,320.7,1014.8,57.3,7,163.7,14,6,,2020-12-05T08:17:54,2020-12-05T18:39:23,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-06,18,8.6,13.4,18,5.4,12.9,6.4,64.8,0,0,0,,,,46.4,31.7,289.7,1017.6,9.8,8.1,179.5,15.5,7,,2020-12-06T08:18:38,2020-12-06T18:39:30,0.67,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-07,18,7,12.6,18,4.3,11.8,8.5,77.8,0,0,0,,,,27.7,18.4,147.1,1021.8,15.7,8.6,178.1,15.4,7,,2020-12-07T08:19:22,2020-12-07T18:39:39,0.73,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-08,19,7,13.1,19,4,12.4,9.7,81.7,0,0,0,,,,20.5,27.7,200.7,1023.8,19.6,9.6,171.1,14.7,7,,2020-12-08T08:20:05,2020-12-08T18:39:49,0.78,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-09,20,10.6,14.9,20,10.6,14.9,10.5,77,0,0,0,,,,31.7,21.6,251.8,1021.4,16.5,8.3,176.2,15.1,7,,2020-12-09T08:20:47,2020-12-09T18:40:01,0.84,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-10,22,8,14.1,22,5.5,13.7,8.6,71.8,0,0,0,,,,16.6,16.6,155.2,1022.8,2.8,8.7,174.6,15,7,,2020-12-10T08:21:29,2020-12-10T18:40:14,0.89,Clear,Clear conditions throughout the day.,clear-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-11,21,10.4,15,21,10.4,15,11.9,82.8,0,0,0,,,,16.6,14.8,194.9,1022.1,32,8.8,172,14.9,7,,2020-12-11T08:22:10,2020-12-11T18:40:29,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-12,19,13,15.3,19,13,15.3,13.1,87.2,0.6,100,25,rain,,,20.5,14.8,199.5,1019.4,48.8,7.2,168.9,14.5,6,,2020-12-12T08:22:50,2020-12-12T18:40:46,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-13,21,12.8,16,21,12.8,16,12.6,82,0.3,100,12.5,rain,,,31.7,25.9,199.1,1016.3,45.6,8.1,98,8.4,4,,2020-12-13T08:23:29,2020-12-13T18:41:04,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-14,21,11,15.7,21,11,15.7,12.7,83.1,0,0,0,,,,22.3,27.7,206.1,1017.1,29.5,9.4,132.8,11.5,6,,2020-12-14T08:24:07,2020-12-14T18:41:23,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-15,21.1,12,16,21.1,12,16,13.3,85.1,0,0,0,,,,16.6,22.3,134.1,1017.2,38.5,7.9,171.7,14.7,7,,2020-12-15T08:24:45,2020-12-15T18:41:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60060099999,60270099999,remote,60280099999,GMAG"
"29.2275;-9.46785",2020-12-16,20,11.7,15.1,20,11.7,15.1,12.2,83.9,0.3,100,12.5,rain,,,18.4,25.9,223.1,1020,54.1,6.9,138.2,12,6,,2020-12-16T08:25:21,2020-12-16T18:42:07,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60060099999,60270099999,remote,60280099999,GMAG"
